Timestamp data collected on 2025-06-30 16:27:44
01C101C3,70FC782C,01C101C1,70FA071B
01C201C4,70FEE92C,01C201C2,70FC7819
01C301C5,71015A2C,01C301C3,70FEE919
01C401C6,7103CB2B,01C401C4,71015A18
01C501C7,71063C2C,01C501C5,7103CB16
01C601C8,7108AD26,01C601C6,71063C18
01C701C9,710B1E2A,01C701C7,7108AD14
01C801CA,710D8F31,01C801C8,710B1E15
01C901CB,7110002C,01C901C9,710D8F1C
01CA01CC,7112712B,01CA01CA,71100019
01CB01CD,7114E227,01CB01CB,71127116
01CC01CE,7117532C,01CC01CC,7114E214
01CD01CF,7119C42A,01CD01CD,71175318
01CE01D0,711C3524,01CE01CE,7119C416
01CF01D1,711EA626,01CF01CF,711C3512
01D001D2,71211726,01D001D0,711EA614
01D101D3,71238822,01D101D1,71211714
01D201D4,7125F922,01D201D2,71238810
01D301D5,71286A20,01D301D3,7125F90E
01D401D6,712ADB24,01D401D4,71286A0C
01D501D7,712D4C20,01D501D5,712ADB11
01D601D8,712FBD20,01D601D6,712D4C0E
01D701D9,71322E1C,01D701D7,712FBD0B
01D801DA,71349F1E,01D801D8,71322E08
01D901DB,7137101F,01D901D9,71349F0A
01DA01DC,7139811E,01DA01DA,7137100A
01DB01DD,713BF220,01DB01DB,7139810A
01DC01DE,713E631F,01DC01DC,713BF20A
01DD01DF,7140D419,01DD01DD,713E630A
01DE01E0,7143451C,01DE01DE,7140D407
01DF01E1,7145B619,01DF01DF,71434508
01E001E2,7148271E,01E001E0,7145B607
01E101E3,714A9819,01E101E1,7148270A
01E201E4,714D0914,01E201E2,714A9806
01E301E5,714F7A1B,01E301E3,714D0903
01E401E6,7151EB18,01E401E4,714F7A08
01E501E7,71545C14,01E501E5,7151EB06
01E601E8,7156CD18,01E601E6,71545C03
01E701E9,71593E14,01E701E7,7156CD06
01E801EA,715BAF14,01E801E8,71593E02
01E901EA,715E2012,01E901E9,715BAF02
01EA01EB,71609112,01EA01EA,715E21C0
01EB01ED,71630212,01EB01EB,716092C0
01EC01ED,71657312,01EC01EC,71630201
01ED01EE,7167E40E,01ED01ED,716574C0
01EE01EF,716A5512,01EE01EE,7167E5C0
01EF01F1,716CC614,01EF01EF,716A56C0
01F001F1,716F3712,01F001F0,716CC601
01F101F2,7171A80C,01F101F1,716F38C0
01F201F3,7174190E,01F201F2,7171A9C0
01F301F4,71768A12,01F301F3,71741AC0
01F401F5,7178FB0C,01F401F4,71768BC0
01F501F6,717B6C08,01F501F5,7178FCC0
01F601F7,717DDD0C,01F601F6,717B6DBD
01F701F8,71804E0B,01F701F7,717DDEC0
01F801F9,7182BF06,01F801F8,71804FC0
01F901FA,71853007,01F901F9,7182C0BC
01FA01FB,7187A10A,01FA01FA,718531BB
01FB01FC,718A1208,01FB01FB,7187A2C0
01FC01FD,718C8303,01FC01FC,718A13BE
01FD01FE,718EF403,01FD01FD,718C84B4
01FE01FF,7191650A,01FE01FE,718EF5B4
01FF0200,7193D608,01FF01FF,719166C0
02000201,71964702,02000200,7193D7BF
02010202,7198B801,02010201,719648B4
02020203,719B2904,02020202,7198B9B2
02030204,719D9A04,02030203,719B2ABA
02040205,71A00B03,02040204,719D9BB5
02050206,71A27C02,02050205,71A00CB4
02060207,71A4ED02,02060206,71A27DB3
